Original_Name,Original_Folder,New_Name,Category,Status
Asset_111_Pasted image 20260105170405.png,C:\Users\natha\OneDrive - Bina Nusantara\Cook\VLT_Content\04_HMN_OUTPUTS\All_Assets,Asset_Asset_111_Pasted_image_20260105170405_32.png,Asset,Moved
Asset_112_Pasted image 20260105172034.png,C:\Users\natha\OneDrive - Bina Nusantara\Cook\VLT_Content\04_HMN_OUTPUTS\All_Assets,Asset_Asset_112_Pasted_image_20260105172034_33.png,Asset,Moved
Asset_113_Pasted image 20260105172054.png,C:\Users\natha\OneDrive - Bina Nusantara\Cook\VLT_Content\04_HMN_OUTPUTS\All_Assets,Asset_Asset_113_Pasted_image_20260105172054_34.png,Asset,Moved
Asset_114_Pasted image 20260105172102.png,C:\Users\natha\OneDrive - Bina Nusantara\Cook\VLT_Content\04_HMN_OUTPUTS\All_Assets,Asset_Asset_114_Pasted_image_20260105172102_35.png,Asset,Moved
Asset_115_Pasted image 20260105172110.png,C:\Users\natha\OneDrive - Bina Nusantara\Cook\VLT_Content\04_HMN_OUTPUTS\All_Assets,Asset_Asset_115_Pasted_image_20260105172110_36.png,Asset,Moved
Asset_116_Pasted image 20260105172116.png,C:\Users\natha\OneDrive - Bina Nusantara\Cook\VLT_Content\04_HMN_OUTPUTS\All_Assets,Asset_Asset_116_Pasted_image_20260105172116_37.png,Asset,Moved
Asset_117_Pasted image 20260105172126.png,C:\Users\natha\OneDrive - Bina Nusantara\Cook\VLT_Content\04_HMN_OUTPUTS\All_Assets,Asset_Asset_117_Pasted_image_20260105172126_38.png,Asset,Moved
Asset_118_Pasted image 20260107211555.png,C:\Users\natha\OneDrive - Bina Nusantara\Cook\VLT_Content\04_HMN_OUTPUTS\All_Assets,Asset_Asset_118_Pasted_image_20260107211555_39.png,Asset,Moved
Asset_119_Pasted image 20260107211622.png,C:\Users\natha\OneDrive - Bina Nusantara\Cook\VLT_Content\04_HMN_OUTPUTS\All_Assets,Asset_Asset_119_Pasted_image_20260107211622_40.png,Asset,Moved
Asset_120_Pasted image 20260107211851.png,C:\Users\natha\OneDrive - Bina Nusantara\Cook\VLT_Content\04_HMN_OUTPUTS\All_Assets,Asset_Asset_120_Pasted_image_20260107211851_41.png,Asset,Moved
Asset_121_Pasted image 20260107211914.png,C:\Users\natha\OneDrive - Bina Nusantara\Cook\VLT_Content\04_HMN_OUTPUTS\All_Assets,Asset_Asset_121_Pasted_image_20260107211914_42.png,Asset,Moved
Asset_122_Pasted image 20260107211935.png,C:\Users\natha\OneDrive - Bina Nusantara\Cook\VLT_Content\04_HMN_OUTPUTS\All_Assets,Asset_Asset_122_Pasted_image_20260107211935_43.png,Asset,Moved
Asset_123_Pasted image 20260107212017.png,C:\Users\natha\OneDrive - Bina Nusantara\Cook\VLT_Content\04_HMN_OUTPUTS\All_Assets,Asset_Asset_123_Pasted_image_20260107212017_44.png,Asset,Moved
Asset_124_Pasted image 20260107212101.png,C:\Users\natha\OneDrive - Bina Nusantara\Cook\VLT_Content\04_HMN_OUTPUTS\All_Assets,Asset_Asset_124_Pasted_image_20260107212101_45.png,Asset,Moved
Asset_125_Pasted image 20260107212139.png,C:\Users\natha\OneDrive - Bina Nusantara\Cook\VLT_Content\04_HMN_OUTPUTS\All_Assets,Asset_Asset_125_Pasted_image_20260107212139_46.png,Asset,Moved
Asset_126_Pasted image 20260107212353.png,C:\Users\natha\OneDrive - Bina Nusantara\Cook\VLT_Content\04_HMN_OUTPUTS\All_Assets,Asset_Asset_126_Pasted_image_20260107212353_47.png,Asset,Moved
Asset_127_Pasted image 20260113163758.png,C:\Users\natha\OneDrive - Bina Nusantara\Cook\VLT_Content\04_HMN_OUTPUTS\All_Assets,Asset_Asset_127_Pasted_image_20260113163758_48.png,Asset,Moved
Asset_128_Pasted image 20260116224447.png,C:\Users\natha\OneDrive - Bina Nusantara\Cook\VLT_Content\04_HMN_OUTPUTS\All_Assets,Asset_Asset_128_Pasted_image_20260116224447_49.png,Asset,Moved
Asset_129_Pasted image 20260124215956.png,C:\Users\natha\OneDrive - Bina Nusantara\Cook\VLT_Content\04_HMN_OUTPUTS\All_Assets,Asset_Asset_129_Pasted_image_20260124215956_50.png,Asset,Moved
Asset_130_Pasted image 20260124223422.png,C:\Users\natha\OneDrive - Bina Nusantara\Cook\VLT_Content\04_HMN_OUTPUTS\All_Assets,Asset_Asset_130_Pasted_image_20260124223422_51.png,Asset,Moved
Asset_131_Pasted image 20260124223430.png,C:\Users\natha\OneDrive - Bina Nusantara\Cook\VLT_Content\04_HMN_OUTPUTS\All_Assets,Asset_Asset_131_Pasted_image_20260124223430_52.png,Asset,Moved
Asset_132_Pasted image 20260124225227.png,C:\Users\natha\OneDrive - Bina Nusantara\Cook\VLT_Content\04_HMN_OUTPUTS\All_Assets,Asset_Asset_132_Pasted_image_20260124225227_53.png,Asset,Moved
Asset_133_Pasted image 20260124225231.png,C:\Users\natha\OneDrive - Bina Nusantara\Cook\VLT_Content\04_HMN_OUTPUTS\All_Assets,Asset_Asset_133_Pasted_image_20260124225231_54.png,Asset,Moved
Asset_134_Pasted image 20260127130252.png,C:\Users\natha\OneDrive - Bina Nusantara\Cook\VLT_Content\04_HMN_OUTPUTS\All_Assets,Asset_Asset_134_Pasted_image_20260127130252_55.png,Asset,Moved
Asset_135_Pasted image 20260127130301.png,C:\Users\natha\OneDrive - Bina Nusantara\Cook\VLT_Content\04_HMN_OUTPUTS\All_Assets,Asset_Asset_135_Pasted_image_20260127130301_56.png,Asset,Moved
Asset_136_Pasted image 20260127130312.png,C:\Users\natha\OneDrive - Bina Nusantara\Cook\VLT_Content\04_HMN_OUTPUTS\All_Assets,Asset_Asset_136_Pasted_image_20260127130312_57.png,Asset,Moved
Asset_137_Pasted image 20260209181902.png,C:\Users\natha\OneDrive - Bina Nusantara\Cook\VLT_Content\04_HMN_OUTPUTS\All_Assets,Asset_Asset_137_Pasted_image_20260209181902_58.png,Asset,Moved
Asset_138_Pasted image 20260301205049.png,C:\Users\natha\OneDrive - Bina Nusantara\Cook\VLT_Content\04_HMN_OUTPUTS\All_Assets,Asset_Asset_138_Pasted_image_20260301205049_59.png,Asset,Moved
Asset_139_Pasted image 20260301205224.png,C:\Users\natha\OneDrive - Bina Nusantara\Cook\VLT_Content\04_HMN_OUTPUTS\All_Assets,Asset_Asset_139_Pasted_image_20260301205224_60.png,Asset,Moved
Asset_13_DVQRYnVjr9l.mp4,C:\Users\natha\OneDrive - Bina Nusantara\Cook\VLT_Content\04_HMN_OUTPUTS\All_Assets,Asset_Asset_13_DVQRYnVjr9l_61.mp4,Asset,Moved
Asset_140_Pasted image 20260301205511.png,C:\Users\natha\OneDrive - Bina Nusantara\Cook\VLT_Content\04_HMN_OUTPUTS\All_Assets,Asset_Asset_140_Pasted_image_20260301205511_62.png,Asset,Moved
Asset_141_Pasted image 20260301205707.png,C:\Users\natha\OneDrive - Bina Nusantara\Cook\VLT_Content\04_HMN_OUTPUTS\All_Assets,Asset_Asset_141_Pasted_image_20260301205707_63.png,Asset,Moved
Asset_142_Pasted image 20260301211254.png,C:\Users\natha\OneDrive - Bina Nusantara\Cook\VLT_Content\04_HMN_OUTPUTS\All_Assets,Asset_Asset_142_Pasted_image_20260301211254_64.png,Asset,Moved
Asset_143_Pasted image 20260301211406.png,C:\Users\natha\OneDrive - Bina Nusantara\Cook\VLT_Content\04_HMN_OUTPUTS\All_Assets,Asset_Asset_143_Pasted_image_20260301211406_65.png,Asset,Moved
